latitude	longitude
-39.21358	-73.53787
43.12687	-125.77031
52.86117	-127.87833
14.57154	48.79153
-4.86272	168.54411
-61.59545	-71.28914
2.39455	-33.80993
40.80667	147.88377
9.87434	-59.26889
58.56942	36.64137
86.62697	14.84052
-83.74809	-93.921
-47.28851	-160.54258
-18.00559	-163.93374
-75.49484	-13.49707
31.35715	54.03174
39.33602	-175.42254
-87.21964	-177.46026
-39.11652	102.77653
-26.34083	-162.50978
20.50585	133.10471
-23.75844	-56.26164
-33.16456	45.14341
-87.21675	-177.3696
33.72991	-12.27753
-38.1754	-163.4982
-38.23729	-40.14459
63.13916	113.98841
-57.60324	-6.59311
-30.22285	-113.26862
-64.79933	-135.75071
-44.86843	0.40702
-51.64612	162.69056
38.84736	89.48297
-46.83181	104.7711
49.64551	146.77237
-2.42508	-85.81442
-85.41399	-124.86468
23.95855	14.18916
22.66516	-81.93062
81.13516	-42.3485
-2.34374	-99.40351
-3.16212	37.17607
33.14379	-26.3226
-22.00297	-79.60732
54.65272	-24.21518
-20.18653	-27.16956
77.23622	-106.19839
76.68333	-57.65588
-45.41705	-19.703
-87.38548	-162.68632
-61.95182	-144.77786
18.30877	-90.47441
-42.81937	-94.26116
73.46795	-18.71087
77.66457	157.50749
23.57051	68.6039
40.19492	-53.15586
39.31194	53.23102
50.43086	-52.74854
-25.00831	37.98147
-52.81011	72.669
38.40423	-10.66171
2.23139	-153.02193
-15.30636	-117.5467
56.85346	-18.35671
-88.20418	117.09377
-73.57107	-68.11322
87.54606	177.76154
39.10881	12.26876
-11.61831	122.45303
-24.26898	-88.07333
-48.46628	45.43758
-21.7725	-65.59243
85.85156	-161.32609
3.48852	-83.04782
65.92219	-142.41424
-37.08361	39.96364
22.30028	69.67433
73.05263	-66.41527
34.44164	-57.12175
51.78995	-66.14182
-0.40212	-40.29558
-48.45256	165.50329
-85.19813	-171.67726
-16.0954	110.07832
-47.02629	-40.08449
29.64882	67.75928
-21.15475	3.34081
16.03876	-32.18353
46.6328	42.48218
-6.49829	-93.66643
21.86365	75.93023
25.90023	5.32469
-17.54229	-56.24718
-50.25092	-102.75435
26.8379	-91.99887
15.98938	150.3845
33.06338	18.68446
-75.50735	129.48447
-68.49092	1.76664
-29.40563	-44.36499
-23.60168	-148.83659
34.21415	173.57243
-60.483	95.78757
-58.37741	62.79642
-2.15194	153.87554
51.52395	162.59206
1.52315	145.78865
79.69451	74.8429
-18.94127	26.70532
-56.76552	-136.11938
-80.89131	-178.00851
-52.58753	-88.27185
-12.06521	117.11112
82.87589	169.86015
-71.41513	-150.95686
-11.2888	4.98437
-81.84763	36.0623
76.1136	-22.09385
-60.22137	-141.82847
-85.06959	-90.91041
88.21	78.39216
37.431	38.18301
35.09235	20.43233
-52.19737	-179.55669
-39.05932	52.1911
31.64818	136.67129
14.88225	-146.15206
-52.54228	-102.52044
33.18082	-139.49834
3.54241	-69.61041
-1.68513	55.73271
26.31164	126.41519
5.74136	-100.36902
63.93526	131.80011
-88.23922	150.94312
52.75358	-159.13416
58.45226	-57.35167
-32.56606	113.37817
46.20238	-143.80748
-44.65165	-0.07668
30.93765	130.9602
-48.77228	161.36225
-77.51538	-51.31709
38.1382	-53.15231
-68.14438	-134.85554
26.13791	-59.12363
-3.15341	5.69206
82.91167	50.81097
14.6251	-142.39069
-85.41231	-41.53409
83.19018	113.1735
-24.95056	-51.93715
-17.35982	46.49473
11.62308	25.3537
-36.15543	137.09935
-14.68115	86.82755
45.91384	-81.79359
-73.99346	132.74971
-82.86415	-125.74683
53.00571	-71.66044
-27.5977	163.27512
-13.20282	25.46103
22.13865	-71.21689
-62.04003	-65.5376
59.05652	-8.75899
66.04677	-146.51127
17.43296	-115.25844
74.27412	-93.2687
75.85795	-102.78565
-69.38194	9.90204
-53.56302	-148.0716
74.00029	-6.06765
30.69506	39.02382
47.24715	-8.89802
8.92685	-170.27569
25.87947	78.36256
-5.99744	167.26097
82.55925	86.53263
-47.13474	25.7561
-65.79022	142.91578
-42.79606	87.46997
37.79282	179.92715
-69.80214	-68.42017
-19.73584	-44.43252
-63.69868	-115.04166
22.8802	-148.78104
12.40944	-50.71387
-2.3403	44.27441
-21.8889	85.67884
-24.24801	-42.73468
65.89957	-64.58967
-73.24223	-163.5887
59.07526	98.67349
33.64629	-148.15363
-66.81953	-41.60643
41.607	-127.36908
35.0419	81.80848
69.94448	-25.89172
