Force, Angle
836.670928, 70.371635
1041.546894, 259.259689
934.523115, 259.831178
970.365168, 316.007666
850.308112, 209.675867
909.516555, 25.446361
959.581845, 332.188045
927.420183, 288.133953
913.351497, 102.940868
957.815322, 195.718764
905.733368, 354.519445
1134.188372, 257.644104
901.156529, 302.029055
1181.794269, 155.973802
962.556339, 169.424898
854.825928, 201.856828
938.131819, 96.872956
1093.450096, 269.646648
1105.592926, 181.399598
1016.022728, 232.851480
1028.740032, 110.788410
1063.290558, 49.940869
854.095813, 171.206256
941.829027, 130.485341
816.985068, 283.720834
