44,45,42,61,70,72,96,30,70,9,37,66,19,73,34,50,17,100,13,63,11,88,57,95,1,51,15,2,32,20,39,68,41,57,76,76,85,10,25,100,66,84,92,27,83,72,17,56,17,39,66,30,26,67,70,64,32,31,58,57,42,74,77,24,56,19,74,100,53,89,68,53,74,63,15,77,1,26,42,34,98,34,81,63,27,48,21,14,16,41,19,33,7,88,79,8,22,40,72,100
1,71,27,58,23,10,47,54,30,83,85,54,11,3,59,70,80,15,55,67,33,16,55,33,47,40,44,85,58,9,16,30,5,47,9,41,68,79,17,16,90,28,36,90,93,48,24,5,93,86,67,41,60,56,53,75,41,21,53,32,66,99,9,48,87,94,76,52,27,11,30,59,68,30,84,49,37,77,55,66,9,24,80,34,37,52,39,32,23,48,68,55,51,33,72,58,44,29,64,64
22,99,74,97,80,92,71,18,20,18,28,96,95,27,81,16,7,37,34,66,73,19,98,94,12,39,46,78,13,55,65,33,32,90,52,32,93,71,65,48,46,66,7,6,83,29,17,17,11,36,51,51,25,96,63,91,52,85,26,11,42,41,69,6,23,66,7,39,20,94,15,23,100,69,14,7,69,53,97,50,43,41,12,100,17,22,80,42,84,1,36,77,56,78,67,84,44,65,58,28
39,36,54,7,77,79,50,54,33,57,44,70,13,97,17,45,10,2,7,92,37,93,12,27,72,89,32,29,67,17,4,72,88,12,87,44,98,39,2,48,87,17,20,45,12,12,57,59,15,86,4,79,34,90,63,100,29,70,81,6,94,89,91,85,81,70,78,55,18,38,97,69,44,43,69,52,41,11,8,3,9,96,51,72,74,93,78,3,79,44,19,16,32,36,37,30,88,27,82,61
73,12,38,72,35,16,37,22,94,82,32,47,34,3,60,17,44,52,9,61,52,79,64,85,67,74,93,71,19,1,7,19,94,11,66,36,6,91,2,43,76,30,51,90,18,54,16,51,64,43,77,10,67,13,73,98,48,35,76,98,72,20,16,60,15,81,2,8,19,17,58,34,71,74,95,41,24,69,5,5,86,20,7,61,32,17,79,62,70,17,42,92,37,32,18,65,75,99,15,64
77,27,39,91,24,43,62,69,67,95,13,30,81,80,95,41,2,62,41,6,26,16,15,66,56,77,73,92,18,55,54,45,43,40,7,47,3,13,42,49,45,38,40,92,80,55,68,100,27,24,79,21,6,46,5,48,3,67,71,10,96,67,94,28,58,38,35,84,30,2,21,69,87,64,46,59,96,67,28,41,89,61,87,36,66,29,51,51,85,47,81,74,75,81,45,14,40,68,27,92
25,100,22,20,71,96,66,39,76,65,65,43,15,79,44,60,18,15,74,42,58,94,22,64,57,49,64,95,82,64,92,37,87,70,93,42,71,47,33,100,61,65,91,16,38,83,90,98,1,73,83,3,99,31,81,48,14,39,83,66,92,49,95,97,39,25,67,26,38,37,27,98,7,92,12,97,25,91,62,47,23,16,88,20,67,1,26,35,13,82,26,91,81,53,82,85,17,67,38,62
4,84,85,90,41,19,22,23,98,20,70,40,55,10,27,85,99,11,85,48,47,7,4,30,47,41,95,27,6,40,17,22,49,89,4,95,64,53,35,9,71,57,25,59,90,70,68,77,86,10,39,69,91,13,40,7,12,55,34,38,19,47,44,9,66,33,59,18,64,43,10,71,19,27,7,97,4,49,40,96,48,26,90,23,53,44,60,1,17,55,67,61,61,37,16,83,55,79,11,95
96,76,8,83,95,28,56,58,43,9,94,11,87,72,94,91,55,96,41,29,74,39,78,66,38,88,74,16,59,57,13,54,91,5,100,95,47,62,25,2,24,52,24,45,63,71,66,24,31,16,36,74,80,33,17,31,52,15,49,56,67,39,25,5,55,98,80,48,39,43,68,60,1,1,78,100,27,47,71,29,64,80,64,7,58,39,57,69,21,5,18,63,30,64,3,76,3,7,74,26
54,77,37,67,66,6,96,14,31,37,78,48,95,5,18,15,92,91,70,28,11,70,26,98,4,25,53,38,71,9,2,84,26,30,70,47,56,6,41,99,46,7,2,98,25,19,42,74,91,91,34,15,9,37,90,93,94,67,99,85,10,15,8,62,39,25,9,24,47,2,95,18,87,73,1,52,81,67,39,66,41,24,71,79,78,100,36,36,54,28,44,36,68,20,81,92,13,25,33,20
